country_text_id,COWcode,dac_code,vdem_text_id,country_name,valid_from,valid_to,in_unga,in_unsc,in_vdem,in_dac,sources,succession_note
MEX,NA,MEX,MEX,Mexico,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
MHL,983,MHL,NA,Marshall Islands,1991,2025,TRUE,FALSE,FALSE,TRUE,unga,NA
MHL,NA,MHL,NA,Marshall Islands,1991,2024,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
MKD,343,MKD,MKD,North Macedonia,1991,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
MKD,NA,MKD,MKD,North Macedonia,1993,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
MLI,432,MLI,MLI,Mali,1900,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
MLI,NA,MLI,MLI,Mali,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
MLT,338,MLT,MLT,Malta,1900,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
MLT,NA,MLT,MLT,Malta,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_donor+dac_recipient,NA
MMR,775,MMR,MMR,Myanmar (Burma),1789,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
MMR,NA,MMR,MMR,Myanmar,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
MNE,341,MNE,MNE,Montenegro,1789,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
MNE,NA,MNE,MNE,Montenegro,2002,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
MNG,712,MNG,MNG,Mongolia,1911,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
MNG,NA,MNG,MNG,Mongolia,1976,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
MNP,NA,MNP,NA,Northern Mariana Islands,1960,1999,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
MOZ,541,MOZ,MOZ,Mozambique,1900,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
MOZ,NA,MOZ,MOZ,Mozambique,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
MRT,435,MRT,MRT,Mauritania,1904,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
MRT,NA,MRT,MRT,Mauritania,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
MSR,NA,MSR,NA,Montserrat,1965,2024,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
MUS,590,MUS,MUS,Mauritius,1900,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
MUS,NA,MUS,MUS,Mauritius,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
MWI,553,MWI,MWI,Malawi,1900,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
MWI,NA,MWI,MWI,Malawi,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
MYS,820,MYS,MYS,Malaysia,1900,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
MYS,NA,MYS,MYS,Malaysia,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
MYT,NA,MYT,NA,Mayotte,1977,2010,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
NAM,565,NAM,NAM,Namibia,1900,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
NAM,NA,NAM,NAM,Namibia,1971,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
NCL,NA,NCL,NA,New Caledonia,1966,1999,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
NER,436,NER,NER,Niger,1922,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
NER,NA,NER,NER,Niger,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
NGA,475,NGA,NGA,Nigeria,1914,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
NGA,NA,NGA,NGA,Nigeria,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
NIC,93,NIC,NIC,Nicaragua,1838,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
NIC,NA,NIC,NIC,Nicaragua,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
NIU,NA,NIU,NA,Niue,1972,2024,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
NLD,210,NLD,NLD,Netherlands,1789,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
NLD,NA,NLD,NLD,Netherlands,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_donor,NA
NOR,385,NOR,NOR,Norway,1789,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
NOR,NA,NOR,NOR,Norway,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_donor,NA
NPL,790,NPL,NPL,Nepal,1789,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
NPL,NA,NPL,NPL,Nepal,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
NRU,NA,NRU,NA,Nauru,1975,2024,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
