country_text_id,COWcode,dac_code,vdem_text_id,country_name,valid_from,valid_to,in_unga,in_unsc,in_vdem,in_dac,sources,succession_note
VEN,NA,VEN,VEN,Venezuela,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
VGB,NA,VGB,NA,British Virgin Islands,1960,1999,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
VNM,816,VNM,VNM,Vietnam,1945,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
VNM,NA,VNM,VNM,Viet Nam,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
VUT,935,VUT,VUT,Vanuatu,1900,2025,TRUE,FALSE,TRUE,TRUE,unga+vdem,NA
VUT,NA,VUT,VUT,Vanuatu,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
WLF,NA,WLF,NA,Wallis and Futuna,1968,2024,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
WRG,271,NA,WRG,Würtemberg,1789,1871,FALSE,FALSE,TRUE,FALSE,vdem,NA
WSM,NA,WSM,NA,Samoa,1961,2024,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
WSM,990,WSM,NA,Samoa,1977,2025,TRUE,FALSE,FALSE,TRUE,unga,NA
XKV,NA,XKV,NA,Kosovo,2009,2024,FALSE,FALSE,FALSE,TRUE,dac_recipient,NA
XKX,347,NA,XKX,Kosovo,1999,2024,FALSE,FALSE,TRUE,FALSE,vdem,NA
YAR,678,NA,YEM,Yemen Arab Republic,1947,1989,TRUE,FALSE,TRUE,FALSE,unga,Yemen Arab Republic (North); COW 678 shared with YEM. Unified 1990 -> YEM.
YEM,678,YEM,YEM,Yemen,1789,1989,FALSE,FALSE,TRUE,TRUE,vdem,NA
YEM,NA,YEM,YEM,Yemen,1960,2024,FALSE,FALSE,TRUE,TRUE,dac_recipient,NA
YEM,679,YEM,YEM,Yemen,1990,2025,TRUE,TRUE,TRUE,TRUE,unga+unsc+vdem,NA
YMD,680,NA,YMD,Yemen People's Republic,1900,1990,TRUE,FALSE,TRUE,FALSE,unga+vdem,People's Democratic Republic of Yemen (South); unified 1990 -> YEM.
