country_code,country_name
1,Japan
2,Hong Kong
3,Korea
4,Mainland China
5,Mongolia
6,Philippines
7,Taiwan
8,Thailand
9,Indonesia
10,Singapore
11,Vietnam
12,Cambodia
13,Malaysia
14,Myanmar
15,Australia
18,India
