"country","election_date","year","system_family","prev_mag","delta_log_mag_eff","n_pre","n_post","cmp_country","usable"
"Iceland",1987-04-25,1987,"proportional",7.64285714285714,0.084604759500083,13,11,TRUE,TRUE
"Iceland",2003-05-10,2003,"proportional",10.2857142857143,0.296984465114094,17,7,TRUE,TRUE
"Israel",1973-12-31,1973,"proportional",120,0,7,18,TRUE,TRUE
"Italy",1958-05-25,1958,"proportional",18.63,-0.0212434966945612,3,16,TRUE,TRUE
"Italy",1994-03-27,1994,"mixed",2.22069597069597,-2.1822902455843,12,7,TRUE,TRUE
"Italy",2006-04-09,2006,"proportional",23.73,2.36891942338094,15,4,TRUE,TRUE
"Japan",1996-10-20,1996,"mixed",7.87272727272727,0.68716051750363,12,9,TRUE,TRUE
"Lithuania",2004-10-10,2004,"mixed",35.2553191489362,0,3,5,TRUE,TRUE
"Luxembourg",1954-05-30,1954,"proportional",13,0.0194180858571018,3,13,TRUE,TRUE
"Moldova",2014-11-30,2014,"proportional",101,0,6,2,TRUE,TRUE
"New Zealand",1996-10-12,1996,"mixed",25.75,3.24843462710975,17,9,TRUE,TRUE
"North Macedonia",2002-09-15,2002,"proportional",20,0.60544160014084,3,6,TRUE,TRUE
"Poland",2001-09-23,2001,"proportional",11.22,-0.400222632143314,3,6,TRUE,TRUE
"Poland",2005-09-25,2005,"proportional",11.22,0,4,5,TRUE,TRUE
"Romania",2008-11-30,2008,"mixed",NA,NA,5,3,TRUE,TRUE
"Slovakia",1998-09-25,1998,"proportional",150,1.38629436111989,3,6,TRUE,TRUE
"Slovakia",2012-03-10,2012,"proportional",150,0,7,2,TRUE,TRUE
"Slovenia",2008-09-21,2008,"proportional",11,0,5,4,TRUE,TRUE
"Turkey",1965-10-10,1965,"proportional",6.72,0,4,15,TRUE,TRUE
"Turkey",1969-10-12,1969,"proportional",6.72,0,5,14,TRUE,TRUE
"Turkey",1987-11-29,1987,"mixed",4.33,-0.10720638604811,9,10,TRUE,TRUE
"Turkey",1995-12-24,1995,"proportional",6.63,0.454142156503481,11,8,TRUE,TRUE
"Ukraine",2006-03-26,2006,"proportional",450,1.38185976405202,3,5,TRUE,TRUE
"Ukraine",2012-10-28,2012,"mixed",113,-1.38185976405202,5,3,TRUE,TRUE
"Albania",1996-05-26,1996,"mixed",5.28571428571429,-0.831733343846092,2,5,TRUE,FALSE
"Argentina",1951-11-11,1951,"majoritarian",1.07,-1.59437171407946,0,10,TRUE,FALSE
"Argentina",1958-02-23,1958,"majoritarian",8.13,2.06600212131817,0,10,TRUE,FALSE
"Argentina",1963-07-07,1963,"proportional",8.35,0.694345503052054,0,10,TRUE,FALSE
"Armenia",1999-05-30,1999,"mixed",24.5114503816794,0.978793376131289,1,7,TRUE,FALSE
"Austria",1923-10-21,1923,"proportional",6.6,-0.0814403319401746,0,22,TRUE,FALSE
"Barbados",1971-09-09,1971,"majoritarian",1,-0.693147180559945,0,0,FALSE,FALSE
"Belgium",1946-02-17,1946,"proportional",6.73333333333333,0,0,23,TRUE,FALSE
