wave,question_id,harmonized_name,section,stem_text,item_text,response_scale,notes
y2014,q3_2,belong_province,,귀하는 다음의 각 항목에 대해서 어떻게 생각하십니까? 전혀 만족하지 않는다 보통 매우 만족한다           ,,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2015,q5_2,belong_province,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2) 나는 현재 살고 있는 지역(시·도)에 강한 소속감을 가지고 있다 ➀ ➁ ➂ ➃,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2016,q5_2,belong_province,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2) 나는 현재 살고 있는 지역(시·도)에 강한 소속감을 가지고 있다 ➀ ➁ ➂ ➃,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2017,q5_2,belong_province,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2) 나는 현재 살고 있는 지역(시·도)에 강한 소속감을 가지고 있다 ➀ ➁ ➂ ➃,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2018,q5_2,belong_province,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2) 나는 현재 살고 있는 지역(시·도)에 강한 소속감을 가지고 있다 ➀ ➁ ➂ ➃,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2019,q5_2,belong_province,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2) 나는 현재 살고 있는 시·도에 강한 소속감을 가지고 있다 ➀ ➁ ➂ ➃ ܬĀ (2-1) 나는 현재 살고 있는 시·군·구에 강한 소속감을 가지고 있다 ➀ ➁ ➂ ➃ ܬĀ (2-2) 나는 현재 살고 있는 읍·면·동에 강한 소속감을 가지고 있다 ➀ ➁ ➂ ➃,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2020,q5_2,belong_province,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2) 나는 현재 살고 있는 시·도에 강한 소속감을 가지고 있다,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2021,q5_2,belong_province,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2) 나는 현재 살고 있는 시·도에 강한 소속감을 가지고 있다,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2022,q5_2,belong_province,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2) 나는 현재 살고 있는 시·도에 강한 소속감을 가지고 있다,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
y2023,q5_2,belong_province,Ⅰ. Subjective Well-being & Empowerment (주관적 웰빙 및 역능성),귀하는 다음의 각 항목에 대하여 어떻게 생각하십니까?,(2) 나는 현재 살고 있는 시·도에 강한 소속감을 가지고 있다,1=전혀 그렇지 않다 (Strongly disagree); 2=별로 그렇지 않다 (Somewhat disagree); 3=약간 그렇다 (Somewhat agree); 4=매우 그렇다 (Strongly agree),
