country_name,n_total,q91_1_valid,q91_2_valid,q91_3_valid
Cambodia,1000,531,217,56
China,5098,2863,191,11
Hong Kong,849,0,0,0
Indonesia,1598,1099,580,278
Japan,1067,704,403,184
Malaysia,1218,820,318,129
Mongolia,1211,1058,703,312
Philippines,1200,823,142,36
Singapore,1012,910,118,10
South Korea,1212,1159,953,624
Taiwan,1587,1241,615,230
Thailand,1546,986,284,87
Vietnam,1200,997,322,120
